time,u100_median,v100_median,u10n_median,u10_median,v10n_median,v10_median,d2m_median,t2m_median,tcc_median,u100_mean,v100_mean,u10n_mean,u10_mean,v10n_mean,v10_mean,d2m_mean,t2m_mean,tcc_mean
2023-01-01 00:00:00,-0.46603394,4.1512756,-0.42286682,-0.6256714,1.5395813,1.9863739,280.136,284.48853,0.74632263,-0.16485432,4.6683407,-0.24126433,-0.32260296,2.4865456,2.6183264,279.80502,284.72498,0.62496024
2023-01-01 01:00:00,-0.7810364,3.9489288,-0.558197,-0.7745514,1.5914001,1.9577179,279.90118,284.40845,0.7563324,-0.4986613,4.679889,-0.42567247,-0.5178076,2.4881754,2.612866,279.70578,284.5969,0.65800923
2023-01-01 02:00:00,-0.988327,3.8500671,-0.6530762,-0.92071533,1.7788391,1.9664001,279.78632,284.23145,0.8093109,-0.7857239,4.7013016,-0.59528196,-0.67754894,2.521235,2.6331923,279.64328,284.46127,0.67545444
2023-01-01 03:00:00,-1.1716461,3.7518616,-0.6845093,-1.0118408,1.9972839,2.191925,279.50696,284.21588,0.8531189,-0.98374367,4.773488,-0.69823015,-0.7878638,2.564645,2.6724563,279.60986,284.39145,0.68368495
2023-01-01 04:00:00,-1.2119141,3.908905,-0.7017975,-0.91423035,1.8960724,2.0403137,279.21582,284.3512,0.86553955,-1.1025829,4.8657393,-0.750337,-0.8507339,2.6134427,2.7205088,279.55853,284.37292,0.71319777
2023-01-01 05:00:00,-1.2703552,4.194275,-0.7263489,-0.9194641,1.9239197,2.1240082,279.09082,284.09985,0.8062744,-1.1758906,5.063611,-0.78926885,-0.89007795,2.7260795,2.8306313,279.54645,284.31656,0.70971674
2023-01-01 06:00:00,-1.4114227,4.506531,-0.76904297,-0.9596863,1.8723145,2.0013275,278.92786,284.15402,0.8403778,-1.2580785,5.3171153,-0.8330573,-0.9375304,2.8555639,2.9663348,279.45978,284.34735,0.74296165
2023-01-01 07:00:00,-1.23143,4.60524,-0.64697266,-0.9005585,1.8471985,2.0679932,278.3645,284.0487,0.8587799,-1.1866812,5.6056166,-0.7872852,-0.8944243,3.0098639,3.1303027,279.4565,284.33612,0.7387396
2023-01-01 08:00:00,-0.97891235,4.6186066,-0.57658386,-0.87467957,1.9300842,2.1020508,277.7458,284.28857,0.8927765,-1.0319877,5.720521,-0.70397294,-0.7998763,3.075575,3.1877317,279.56448,284.54688,0.7405975
2023-01-01 09:00:00,-0.7734833,4.815323,-0.76345825,-0.76194763,2.4499664,2.545517,277.72925,284.57642,0.91415405,-0.79810727,5.73922,-0.6844329,-0.6951959,3.2422826,3.2827322,279.9638,285.1575,0.723465
2023-01-01 10:00:00,-0.61042786,3.961441,-0.70906067,-0.66111755,2.2277985,2.1256866,278.29178,285.6797,0.8698578,-0.19459209,4.949563,-0.41427082,-0.38114855,2.9235713,2.9142966,280.40527,286.29834,0.7283286
2023-01-01 11:00:00,-0.65016174,3.7319946,-0.6957855,-0.6535797,2.5547638,2.418457,278.8291,287.14697,0.8475647,-0.30067924,4.829349,-0.44724464,-0.40889105,3.1403747,3.110618,280.4738,287.39532,0.7214614
2023-01-01 12:00:00,-0.63523865,4.089798,-0.6772003,-0.6266327,2.9037018,2.8049316,279.14963,288.12036,0.82969666,-0.19107059,4.8101544,-0.32927433,-0.29511023,3.250647,3.2122703,280.43356,288.1991,0.70978016
2023-01-01 13:00:00,-0.5154877,4.410675,-0.614975,-0.5953064,3.2369995,3.0772095,279.9082,289.12744,0.8661957,-0.0683353,4.7280335,-0.21365501,-0.18753296,3.245267,3.1988766,280.32755,288.7407,0.68341297
2023-01-01 14:00:00,-0.51530457,4.4075623,-0.53811646,-0.5664673,3.1038055,3.0117035,280.2162,289.38818,0.85328674,0.041956916,4.5727496,-0.11088003,-0.09709184,3.0941966,3.0605502,280.35065,288.9614,0.7001015
2023-01-01 15:00:00,-0.36717224,4.442688,-0.40649414,-0.40618896,2.872696,2.840866,280.49216,289.2378,0.897171,0.13222167,4.4501843,-0.015083205,-0.018707087,2.8401525,2.8483663,280.50638,288.73233,0.7362104
2023-01-01 16:00:00,0.08468628,4.858841,-0.11129761,-0.16757202,2.2219238,2.4325104,281.04523,288.62598,0.91963196,0.22859319,4.3106236,0.1447331,0.07923137,2.3814235,2.5026407,280.76428,288.16245,0.74170274
2023-01-01 17:00:00,0.08816528,4.848984,-0.10688782,-0.233078,1.6811371,2.2769012,281.23273,287.24194,0.96354675,0.26344287,4.099489,0.21323746,0.104996495,2.0298827,2.2567792,280.599,287.28665,0.7884738
2023-01-01 18:00:00,0.23060608,4.6726837,-0.11152649,-0.24989319,1.4943695,2.2136993,281.6397,286.2688,0.9869232,0.3024062,3.8681116,0.22555259,0.14349021,1.8475858,2.056796,280.45212,286.58102,0.8327287
