datetime,zone_key,solar,wind
2023-01-01 00:00:00+00,ES,20,5624
2023-01-01 00:15:00+00,ES,20,5480
2023-01-01 00:30:00+00,ES,20,5904
2023-01-01 00:45:00+00,ES,20,5980
2023-01-01 01:00:00+00,ES,20,5516
2023-01-01 01:15:00+00,ES,20,5632
2023-01-01 01:30:00+00,ES,20,5592
2023-01-01 01:45:00+00,ES,20,5572
2023-01-01 02:00:00+00,ES,20,5368
2023-01-01 02:15:00+00,ES,20,5640
2023-01-01 02:30:00+00,ES,20,5328
2023-01-01 02:45:00+00,ES,20,5264
2023-01-01 03:00:00+00,ES,20,5168
2023-01-01 03:15:00+00,ES,20,4928
2023-01-01 03:30:00+00,ES,20,4536
2023-01-01 03:45:00+00,ES,20,4432
2023-01-01 04:00:00+00,ES,20,4412
2023-01-01 04:15:00+00,ES,16,4384
2023-01-01 04:30:00+00,ES,16,4408
2023-01-01 04:45:00+00,ES,16,4452
2023-01-01 05:00:00+00,ES,16,4428
2023-01-01 05:15:00+00,ES,16,4408
2023-01-01 05:30:00+00,ES,16,4524
2023-01-01 05:45:00+00,ES,16,4596
2023-01-01 06:00:00+00,ES,16,4644
2023-01-01 06:15:00+00,ES,16,4720
2023-01-01 06:30:00+00,ES,16,4896
2023-01-01 06:45:00+00,ES,16,4872
2023-01-01 07:00:00+00,ES,16,4812
2023-01-01 07:15:00+00,ES,28,4688
2023-01-01 07:30:00+00,ES,20,4272
2023-01-01 07:45:00+00,ES,36,4052
2023-01-01 08:00:00+00,ES,128,4028
2023-01-01 08:15:00+00,ES,356,4144
2023-01-01 08:30:00+00,ES,676,4124
2023-01-01 08:45:00+00,ES,1012,4168
2023-01-01 09:00:00+00,ES,1328,4284
2023-01-01 09:15:00+00,ES,1876,4768
2023-01-01 09:30:00+00,ES,2392,5008
2023-01-01 09:45:00+00,ES,2916,5580
2023-01-01 10:00:00+00,ES,3096,5424
2023-01-01 10:15:00+00,ES,3604,5728
2023-01-01 10:30:00+00,ES,3944,5860
2023-01-01 10:45:00+00,ES,4164,5832
2023-01-01 11:00:00+00,ES,4308,5772
2023-01-01 11:15:00+00,ES,4332,6264
2023-01-01 11:30:00+00,ES,4408,6340
2023-01-01 11:45:00+00,ES,4836,5904
2023-01-01 12:00:00+00,ES,5068,5936
2023-01-01 12:15:00+00,ES,5172,6360
2023-01-01 12:30:00+00,ES,5172,6236
2023-01-01 12:45:00+00,ES,5356,5804
2023-01-01 13:00:00+00,ES,5412,5876
2023-01-01 13:15:00+00,ES,5352,6224
2023-01-01 13:30:00+00,ES,5216,6132
2023-01-01 13:45:00+00,ES,5208,5924
2023-01-01 14:00:00+00,ES,5092,5856
2023-01-01 14:15:00+00,ES,4876,6012
2023-01-01 14:30:00+00,ES,4644,5924
2023-01-01 14:45:00+00,ES,4512,5544
2023-01-01 15:00:00+00,ES,4176,5560
2023-01-01 15:15:00+00,ES,3728,5652
2023-01-01 15:30:00+00,ES,2968,5872
2023-01-01 15:45:00+00,ES,2236,6184
2023-01-01 16:00:00+00,ES,1640,6388
2023-01-01 16:15:00+00,ES,1196,6568
2023-01-01 16:30:00+00,ES,824,7496
2023-01-01 16:45:00+00,ES,464,8088
2023-01-01 17:00:00+00,ES,160,8668
2023-01-01 17:15:00+00,ES,28,9720
2023-01-01 17:30:00+00,ES,4,10348
2023-01-01 17:45:00+00,ES,0,10528
2023-01-01 18:00:00+00,ES,0,10480
2023-01-01 18:15:00+00,ES,4,10448
2023-01-01 18:30:00+00,ES,4,10536
2023-01-01 18:45:00+00,ES,0,10580
2023-01-01 19:00:00+00,ES,0,10592
2023-01-01 19:15:00+00,ES,0,10632
2023-01-01 19:30:00+00,ES,0,10616
2023-01-01 19:45:00+00,ES,0,10612
2023-01-01 20:00:00+00,ES,0,10472
2023-01-01 20:15:00+00,ES,0,10392
2023-01-01 20:30:00+00,ES,0,10316
2023-01-01 20:45:00+00,ES,0,10456
2023-01-01 21:00:00+00,ES,0,10588
2023-01-01 21:15:00+00,ES,0,10760
2023-01-01 21:30:00+00,ES,0,10736
2023-01-01 21:45:00+00,ES,0,10816
2023-01-01 22:00:00+00,ES,0,11024
2023-01-01 22:15:00+00,ES,0,11088
2023-01-01 22:30:00+00,ES,0,11152
2023-01-01 22:45:00+00,ES,0,10536
2023-01-01 23:00:00+00,ES,0,10168
2023-01-01 23:15:00+00,ES,0,10636
2023-01-01 23:30:00+00,ES,0,11200
2023-01-01 23:45:00+00,ES,0,11156
2023-01-02 00:00:00+00,ES,0,11184
2023-01-02 00:15:00+00,ES,0,11120
2023-01-02 00:30:00+00,ES,0,10972
2023-01-02 00:45:00+00,ES,0,10712
2023-01-02 01:00:00+00,ES,0,10276
2023-01-02 01:15:00+00,ES,0,9828
2023-01-02 01:30:00+00,ES,0,9336
2023-01-02 01:45:00+00,ES,0,9016
2023-01-02 02:00:00+00,ES,0,8724
2023-01-02 02:15:00+00,ES,0,8404
2023-01-02 02:30:00+00,ES,0,8244
2023-01-02 02:45:00+00,ES,0,8104
2023-01-02 03:00:00+00,ES,0,7892
2023-01-02 03:15:00+00,ES,0,7688
2023-01-02 03:30:00+00,ES,0,7396
2023-01-02 03:45:00+00,ES,0,7220
2023-01-02 04:00:00+00,ES,0,6988
2023-01-02 04:15:00+00,ES,0,6732
2023-01-02 04:30:00+00,ES,0,6232
2023-01-02 04:45:00+00,ES,0,5824
2023-01-02 05:00:00+00,ES,0,5656
2023-01-02 05:15:00+00,ES,0,5604
2023-01-02 05:30:00+00,ES,0,5464
2023-01-02 05:45:00+00,ES,0,5256
2023-01-02 06:00:00+00,ES,0,4948
2023-01-02 06:15:00+00,ES,0,4788
2023-01-02 06:30:00+00,ES,0,4652
2023-01-02 06:45:00+00,ES,0,4460
2023-01-02 07:00:00+00,ES,0,4248
2023-01-02 07:15:00+00,ES,8,4180
2023-01-02 07:30:00+00,ES,12,4164
2023-01-02 07:45:00+00,ES,48,4064
2023-01-02 08:00:00+00,ES,152,3888
2023-01-02 08:15:00+00,ES,396,3672
2023-01-02 08:30:00+00,ES,692,3456
2023-01-02 08:45:00+00,ES,1056,3184
2023-01-02 09:00:00+00,ES,1436,2940
2023-01-02 09:15:00+00,ES,1896,2804
2023-01-02 09:30:00+00,ES,2216,2680
2023-01-02 09:45:00+00,ES,2600,2548
2023-01-02 10:00:00+00,ES,2944,2324
2023-01-02 10:15:00+00,ES,3456,2120
2023-01-02 10:30:00+00,ES,3756,1972
2023-01-02 10:45:00+00,ES,4000,1916
2023-01-02 11:00:00+00,ES,4284,1836
2023-01-02 11:15:00+00,ES,4460,1812
2023-01-02 11:30:00+00,ES,4572,1780
2023-01-02 11:45:00+00,ES,4708,1704
2023-01-02 12:00:00+00,ES,4832,1664
2023-01-02 12:15:00+00,ES,5076,1676
2023-01-02 12:30:00+00,ES,5168,1636
2023-01-02 12:45:00+00,ES,5120,1548
2023-01-02 13:00:00+00,ES,5076,1504
2023-01-02 13:15:00+00,ES,5004,1512
2023-01-02 13:30:00+00,ES,4760,1512
2023-01-02 13:45:00+00,ES,4500,1484
2023-01-02 14:00:00+00,ES,4292,1460
2023-01-02 14:15:00+00,ES,3836,1424
2023-01-02 14:30:00+00,ES,3580,1436
2023-01-02 14:45:00+00,ES,3348,1448
