datetime,zone_key,solar,wind
2023-01-01 00:00:00+00,PT,0,3284
2023-01-01 01:00:00+00,PT,0,3380
2023-01-01 02:00:00+00,PT,0,3499
2023-01-01 03:00:00+00,PT,0,3931
2023-01-01 04:00:00+00,PT,0,3801
2023-01-01 05:00:00+00,PT,0,3699
2023-01-01 06:00:00+00,PT,0,3542
2023-01-01 07:00:00+00,PT,0,3194
2023-01-01 08:00:00+00,PT,28,3149
2023-01-01 09:00:00+00,PT,243,3174
2023-01-01 10:00:00+00,PT,728,3245
2023-01-01 11:00:00+00,PT,878,3295
2023-01-01 12:00:00+00,PT,680,3935
2023-01-01 13:00:00+00,PT,489,4084
2023-01-01 14:00:00+00,PT,278,3966
2023-01-01 15:00:00+00,PT,140,3623
2023-01-01 16:00:00+00,PT,54,3114
2023-01-01 17:00:00+00,PT,1,2461
2023-01-01 18:00:00+00,PT,0,2021
2023-01-01 19:00:00+00,PT,0,2014
2023-01-01 20:00:00+00,PT,0,2190
2023-01-01 21:00:00+00,PT,0,2368
2023-01-01 22:00:00+00,PT,0,2045
2023-01-01 23:00:00+00,PT,0,1504
2023-01-02 00:00:00+00,PT,0,1083
2023-01-02 01:00:00+00,PT,0,853
2023-01-02 02:00:00+00,PT,0,811
2023-01-02 03:00:00+00,PT,0,891
2023-01-02 04:00:00+00,PT,0,943
2023-01-02 05:00:00+00,PT,0,915
2023-01-02 06:00:00+00,PT,0,885
2023-01-02 07:00:00+00,PT,1,696
2023-01-02 08:00:00+00,PT,108,554
2023-01-02 09:00:00+00,PT,373,349
2023-01-02 10:00:00+00,PT,596,234
2023-01-02 11:00:00+00,PT,847,239
2023-01-02 12:00:00+00,PT,991,261
2023-01-02 13:00:00+00,PT,925,221
2023-01-02 14:00:00+00,PT,836,196
2023-01-02 15:00:00+00,PT,631,241
2023-01-02 16:00:00+00,PT,241,261
2023-01-02 17:00:00+00,PT,9,337
2023-01-02 18:00:00+00,PT,0,373
2023-01-02 19:00:00+00,PT,0,344
2023-01-02 20:00:00+00,PT,0,371
2023-01-02 21:00:00+00,PT,0,392
2023-01-02 22:00:00+00,PT,0,353
2023-01-02 23:00:00+00,PT,0,406
2023-01-03 00:00:00+00,PT,0,443
2023-01-03 01:00:00+00,PT,0,470
2023-01-03 02:00:00+00,PT,0,533
2023-01-03 03:00:00+00,PT,0,598
2023-01-03 04:00:00+00,PT,0,564
2023-01-03 05:00:00+00,PT,0,565
2023-01-03 06:00:00+00,PT,0,561
2023-01-03 07:00:00+00,PT,1,505
2023-01-03 08:00:00+00,PT,175,449
2023-01-03 09:00:00+00,PT,630,378
2023-01-03 10:00:00+00,PT,961,289
2023-01-03 11:00:00+00,PT,1104,215
2023-01-03 12:00:00+00,PT,1168,184
2023-01-03 13:00:00+00,PT,1149,194
2023-01-03 14:00:00+00,PT,1028,249
2023-01-03 15:00:00+00,PT,747,248
2023-01-03 16:00:00+00,PT,282,249
2023-01-03 17:00:00+00,PT,10,317
2023-01-03 18:00:00+00,PT,0,420
2023-01-03 19:00:00+00,PT,0,493
2023-01-03 20:00:00+00,PT,0,533
2023-01-03 21:00:00+00,PT,0,505
2023-01-03 22:00:00+00,PT,0,476
2023-01-03 23:00:00+00,PT,0,388
2023-01-04 00:00:00+00,PT,0,314
2023-01-04 01:00:00+00,PT,0,305
2023-01-04 02:00:00+00,PT,0,270
2023-01-04 03:00:00+00,PT,0,307
2023-01-04 04:00:00+00,PT,0,322
2023-01-04 05:00:00+00,PT,0,341
2023-01-04 06:00:00+00,PT,0,403
2023-01-04 07:00:00+00,PT,1,439
2023-01-04 08:00:00+00,PT,146,488
2023-01-04 09:00:00+00,PT,583,453
2023-01-04 10:00:00+00,PT,931,368
2023-01-04 11:00:00+00,PT,1098,244
2023-01-04 12:00:00+00,PT,1141,171
2023-01-04 13:00:00+00,PT,1118,140
2023-01-04 14:00:00+00,PT,988,125
2023-01-04 15:00:00+00,PT,710,113
2023-01-04 16:00:00+00,PT,261,170
2023-01-04 17:00:00+00,PT,10,320
2023-01-04 18:00:00+00,PT,0,402
2023-01-04 19:00:00+00,PT,0,474
2023-01-04 20:00:00+00,PT,0,510
2023-01-04 21:00:00+00,PT,0,620
2023-01-04 22:00:00+00,PT,0,747
2023-01-04 23:00:00+00,PT,0,851
2023-01-05 00:00:00+00,PT,0,913
2023-01-05 01:00:00+00,PT,0,953
2023-01-05 02:00:00+00,PT,0,1032
2023-01-05 03:00:00+00,PT,0,1204
2023-01-05 04:00:00+00,PT,0,1151
2023-01-05 05:00:00+00,PT,0,989
2023-01-05 06:00:00+00,PT,0,915
2023-01-05 07:00:00+00,PT,1,755
2023-01-05 08:00:00+00,PT,135,616
2023-01-05 09:00:00+00,PT,536,498
2023-01-05 10:00:00+00,PT,867,349
2023-01-05 11:00:00+00,PT,1026,203
2023-01-05 12:00:00+00,PT,1088,135
2023-01-05 13:00:00+00,PT,1087,92
2023-01-05 14:00:00+00,PT,971,61
2023-01-05 15:00:00+00,PT,698,39
2023-01-05 16:00:00+00,PT,262,58
2023-01-05 17:00:00+00,PT,10,65
2023-01-05 18:00:00+00,PT,0,79
2023-01-05 19:00:00+00,PT,0,140
2023-01-05 20:00:00+00,PT,0,114
2023-01-05 21:00:00+00,PT,0,110
2023-01-05 22:00:00+00,PT,0,149
2023-01-05 23:00:00+00,PT,0,144
2023-01-06 00:00:00+00,PT,0,147
2023-01-06 01:00:00+00,PT,0,147
